x03049713,Nissa_Nyberget,1954-,1954
x90272073,Karine_Nyborg,1962-,1962
x90673800,Frode_Nyeng,1970-,1970
x90060922,Olav_Nygard,1884-1924,1884
x09024166,Anne-Pia_Nygård,1977-,1977
x90057734,Marius_Nygaard,1838-1912,1838
x90855027,Martin_Nygaard,1960-,1960
x90079278,Gert_Nygårdshaug,1946-,1946
x90610111,Egil_Nyhus,1962-,1962
x02067110,Kaia_Dahle_Nyhus,1990-,1990
x13070921,Lars_Ingmar_Nyhus,1985-,1985
x90635816,Svein_Nyhus,1962-,1962
x90671076,Justyna_Nyka,1963-,1963
x90406036,Gro_Nylander,1943-,1943
x90130948,Magne_Nylenna,1952-,1952
x90059884,Arild_Nyquist,1937-2004,1937
x90105349,Gerd_Nyquist,1913-1984,1913
x05099602,Ann_Solveig_Nystad,1961-,1961
x90153601,Liv_Nysted,1949-2010,1949
x90613926,Knut_Nærum,1961-,1961
x90118132,Alf_Næsheim,1926-,1926
x90156796,Egil_Torin_Næsheim,1939-,1939
x99020648,Alfred_Næss_(revyartist),1927-1997,1927
x90962677,Arne_Lindtner_Næss,1944-,1944
x90060958,Atle_Næss,1949-,1949
x90105927,Hans_Eyvind_Næss,1943-,1943
x90869371,Jan_Christopher_Næss,1964-,1964
x90056031,Kate_Næss,1938-1987,1938
x90894274,Kristine_Næss,1964-,1964
x04098012,Peder_Hamdahl_Næss,1971-,1971
x90615869,Tale_Næss,1969-,1969
x90148127,Berit_Nøkleby,1939-,1939
x11062157,Tone_Nørvåg,1971-,1971
x00008862,Joseph_O'Connor,1963-,1963
x90056769,Joyce_Carol_Oates,1938-,1938
x90056358,Tor_Obrestad,1938-,1938
x90076535,Sigbjørn_Obstfelder,1866-1900,1866
x01034029,Odd_Arne_Sørensen,1973-,1973
x90585344,Kenzaburo_Oe,1935-,1935
x90151960,Anders_Ohnstad,1911-2007,1911
x90368004,Åsmund_Ohnstad,1950-,1950
x90675442,Janette_Oke,1935-,1935
x90545681,Sigrun_Okkenhaug,1889-1939,1889
x06004470,Sofi_Oksanen,1977-,1977
x00053978,Tore_Oksholen,1960-,1960
x09050699,Ola_Bøe-Hansen,1969-,1969
x90102716,Ola_Stemshaug,1936-2013,1936
x09022889,Olaf_Olsvik,1955-,1955
x90166060,Olaf_Olafsen,1843-1932,1843
x12063452,Johann_Olearius,1611-1684,1611
x01033496,Jamie_Oliver,1975-,1975
x01024686,John_Andreas_Olsen,1968-,1968
x90181953,Morten_Harry_Olsen,1960-,1960
x90084869,Pål_Gerhard_Olsen,1959-,1959
x98078582,Tore_Strand_Olsen,1970-,1970
x90069642,Vivian_Zahl_Olsen,1942-,1942
x02117238,Linda_Olsson,1948-,1948
x90521323,Audgunn_Oltedal,1945-,1945
x03047085,Jan_Omdahl,1961-,1961
x90139313,Arthur_Omre,1887-1967,1887
x00055518,Hallgeir_Opedal,1965-,1965
x14018439,Oliver_Opheim,1990-,1990
x02076969,Ulf_Oppegaard,1911-1995,1911
x90521667,Arve_Opsahl,1921-2007,1921
x01022020,Carl_Petter_Opsahl,1964-,1964
x90191969,Gunvald_Opstad,1935-,1935
x90065561,Ivar_Orgland,1921-1994,1921
x90159986,Matias_Orheim,1884-1958,1884
x90374842,Øystein_Orten,1962-,1962
x90136209,Ivar_Orvedal,1952-,1952
x90076220,George_Orwell,1903-1950,1903
x90674950,Bård_Ose,1960-,1960
x03112970,Sara_Margrethe_Oskal,1970-,1970
x12016215,Bárður_Oskarsson,1972-,1972
x90139566,Erna_Osland,1951-,1951
x90272976,Leo_Oterhals,1941-,1941
x90775873,Anne_Oterholm,1964-,1964
x90102106,Jens_Otterbech,1868-1921,1868
x04075140,Camilla_Dahle_Otterlei,1980-,1980
x08060096,Kjetil_Ottersen,1983-,1983
x90155521,Olav_Ottersen,1929-2006,1929
x98005431,Josefine_Ottesen,1956-,1956
x90504224,Per_Ottesen,1945-,1945
x90207528,Kristian_Ottosen,1921-2006,1921
x90124515,Bjørn_Ousland,1959-,1959
x90385881,Ingrid_Jangaard_Ousland,1932-,1932
x90185932,Karl_Over-Rein,1946-,1946
x90174905,Wilfred_Owen,1893-1918,1893
x90373301,Alf_Oxem,1944-,1944
x90106155,Amos_Oz,1939-,1939
x90092353,Arne_Paasche_Aasen,1901-1978,1901
x90164485,Arto_Paasilinna,1942-,1942
x08059257,Christopher_Pahle,1982-,1982
x90863245,Marion_Palmer,1953-,1953
x90059102,Kirsti_Paltto,1947-,1947
x90550030,Orhan_Pamuk,1952-,1952
x05074075,Christopher_Paolini,1983-,1983
x90079229,Fredrik_Parelius,1879-1970,1879
x04048457,Karin_Park,1978-,1978
x90071065,Øistein_Parmann,1921-1999,1921
x05087853,Maria_Parr,1981-,1981
x90078714,John_Paulsen,1851-1924,1851
x90214686,Andreas_Paulson,1861-1953,1861
x90081486,Ole_Paus,1947-,1947
x90238234,Claus_Pavels,1769-1822,1769
x05037869,Michelle_Paver,1960-,1960
x90059649,Bente_Pedersen,1961-,1961
x90078294,Erling_Pedersen,1947-,1947
x90052113,Odd_Kvaal_Pedersen,1935-1990,1935
x90057191,Ragnar_Pedersen_(tegner),1942-2007,1942
x90406731,Tore_Bernitz_Pedersen,1935-,1935
x90114824,Torgeir_Rebolledo_Pedersen,1949-,1949
x90213349,Willy_Pedersen,1952-,1952
x03018117,Kate_Pendry,1965-,1965
x90403167,Sylvi_Penne,1947-,1947
x12030755,Louise_Penny,1958-,1958
x13044516,Pernille_Sjølett_Hansen,1978-,1978
x06025011,Mari_Persen,1977-,1977
x06019078,Eirik_Petersen,1958-,1958
x08025671,Marius_Nergård_Pettersen,1984-,1984
x90066896,Per_Petterson,1952-,1952
x10004676,Todd_Phillips,1970-,1970
x04071877,Roger_Pihl,1954-,1954
x90138839,Steven_Pinker,1954-,1954
x90054019,Harold_Pinter,1930-2008,1930
x90377199,Malgorzata_Piotrowska,1957-,1957
x13054370,Claude_Piron,1931-2008,1931
x90051182,Sylvia_Plath,1932-1963,1932
x10017810,Valborg_Platou,1839-1928,1839
